Player,Nation,Pos,Squad,Comp,Age,MP,G/90,Pass,PassCompleted,PassComp%,Assist,Cross,CrossCompleted,CrossComp%,Tackle_Won,AerWon,Cluster
David Ozoh,,FW,Crystal Palace,Premier League,17,1,0,0,0,,0,0,0,,0,0,1
Jon Pacheco,ESP,DF,Real Sociedad,La Liga,22,9,0,502,456,90.84,0,0,0,,7,13,0
Simone Pafundi,ITA,MF,Udinese,Serie A,16,1,0,3,3,100.0,0,0,0,,1,0,1
Ante Palaversa,CRO,MF,Troyes,Ligue 1,22,1,1,8,7,87.5,0,1,0,0.0,1,0,1
Cole Palmer,ENG,FWMF,Manchester City,Premier League,20,9,0,73,63,86.3,0,4,1,25.0,1,1,1
Flavio Paoletti,ITA,MF,Sampdoria,Serie A,20,4,0,47,38,80.85,0,1,0,0.0,2,0,1
Antonios Papadopoulos,GER,DF,Dortmund,Bundesliga,23,1,0,27,25,92.59,0,0,0,,0,1,1
Aitor Paredes,ESP,DF,Athletic Club,La Liga,22,6,0,57,48,84.21,0,0,0,,1,0,1
Kevin Paredes,USA,MFFW,Wolfsburg,Bundesliga,19,12,1,105,78,74.29,1,8,2,25.0,6,2,1
Fabiano Parisi,ITA,DF,Empoli,Serie A,22,20,2,943,714,75.72,0,33,9,27.27,21,12,0
Moises Parra Gutierrez,ESP,FW,Getafe,La Liga,20,1,0,3,3,100.0,0,0,0,,0,0,1
Raúl Parra,ESP,DFMF,Cádiz,La Liga,23,2,0,9,4,44.44,0,0,0,,0,0,1
Marco Paali?,CRO,MF,Dortmund,Bundesliga,22,1,0,9,7,77.78,0,1,0,0.0,0,0,1
Nathan Patterson,SCO,DFMF,Everton,Premier League,21,13,0,516,395,76.55,0,29,2,6.9,17,7,0
Paulinho,BRA,FW,Leverkusen,Bundesliga,22,4,1,28,23,82.14,0,0,0,,0,1,1
Pedri,ESP,MFFW,Barcelona,La Liga,20,20,5,1125,987,87.73,0,18,0,0.0,19,1,0
Pietro Pellegri,ITA,FW,Torino,Serie A,21,11,1,58,42,72.41,0,3,0,0.0,1,8,1
Luca Pellegrini,ITA,DF,Eint Frankfurt,Bundesliga,23,9,0,430,291,67.67,0,54,2,3.7,8,5,1
Facundo Pellistri,URU,FW,Manchester Utd,Premier League,21,1,0,7,7,100.0,0,0,0,,0,0,1
Timothee Pembele,FRA,DF,Paris S-G,Ligue 1,20,1,0,34,28,82.35,0,0,0,,2,0,1
Ricardo Pepi,USA,FW,Augsburg,Bundesliga,20,4,0,26,17,65.38,0,0,0,,1,3,1
Juan Perea,COL,FW,Stuttgart,Bundesliga,22,12,0,53,34,64.15,0,7,1,14.29,3,3,1
Brayann Pereira,FRA,DF,Auxerre,Ligue 1,19,2,0,79,56,70.89,0,9,0,0.0,5,3,1
Francisco Perez,ESP,FWDF,Valencia,La Liga,20,4,0,24,19,79.17,0,3,0,0.0,0,0,1
Nehuén Pérez,ARG,DF,Udinese,Serie A,22,19,1,1050,893,85.05,0,15,3,20.0,20,19,0
Lukas Petkov,GER,MFFW,Augsburg,Bundesliga,22,7,0,35,18,51.43,0,0,0,,1,5,1
Roberto Piccoli,ITA,FW,Hellas Verona,Serie A,22,7,0,25,13,52.0,0,3,0,0.0,0,3,1
Roberto Piccoli,ITA,MFFW,Empoli,Serie A,22,2,0,7,6,85.71,0,0,0,,0,0,1
Andrea Pinamonti,ITA,FW,Sassuolo,Serie A,23,17,3,294,187,63.61,0,7,2,28.57,4,21,1
Yeremi Pino,ESP,MFFW,Villarreal,La Liga,20,19,2,372,270,72.58,1,16,2,12.5,21,12,1
Lorenzo Pirola,ITA,DF,Salernitana,Serie A,20,9,0,262,205,78.24,0,1,0,0.0,12,10,1
Gonzalo Plata,ECU,FWMF,Valladolid,La Liga,22,16,0,323,250,77.4,2,14,1,7.14,17,4,1
Tommaso Pobega,ITA,MF,Milan,Serie A,23,13,1,223,168,75.34,0,2,1,50.0,7,9,1
Julien Ponceau,FRA,MF,Lorient,Ligue 1,22,19,0,532,436,81.95,4,8,0,0.0,13,3,0
?ukasz Por?ba,POL,MF,Lens,Ligue 1,22,7,0,133,110,82.71,1,6,2,33.33,4,2,1
Jackson Porozo,ECU,DF,Troyes,Ligue 1,22,15,2,483,394,81.57,0,3,0,0.0,11,39,0
Pedro Porro,ESP,DF,Tottenham,Premier League,23,1,0,32,25,78.12,0,2,1,50.0,0,1,1
Alejandro Pozo Pozo,ESP,DF,Almería,La Liga,23,17,0,668,487,72.9,1,44,8,18.18,8,5,0
Isaac Price,NIR,MF,Everton,Premier League,19,1,0,13,11,84.62,0,1,0,0.0,0,0,1
